id,status,wfo,ident,name,city,state,latitude_deg,longitude_deg
1,OPR,AKQ,KAKQ,Wakefield Municipal Airport,Wakefield,VA,42.69589996,-73.17040253
2,OPR,AKQ,KECG,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,NC,36.260601,-76.174599
3,OPR,AKQ,KOFP,Hanover County Municipal Airport,Hanover,VA,37.709,-77.436699
4,OPR,AKQ,KORF,Norfolk International Airport,Norfolk,VA,36.8946,-76.201202
5,OPR,AKQ,KOXB,Ocean City Municipal Airport,Ocean City,MD,38.3103981,-75.12400055
6,OPR,AKQ,KPHF,Newport News Williamsburg International Airport,Newport News,VA,37.131901,-76.492996
7,OPR,AKQ,KRIC,Richmond International Airport,Richmond,VA,37.50519943,-77.31970215
8,OPR,AKQ,KSBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury,MD,38.34049988,-75.51029968
9,OPR,AKQ,KWAL,Wallops Flight Facility Airport,Wallops Island,VA,37.940813,-75.462255
10,OPR,ALY,KALB,Albany International Airport,Albany,NY,42.74829865,-73.80169678
11,OPR,ALY,KAQW,Harriman and West Airport,North Adams,MA,42.69589996,-73.17040253
12,OPR,ALY,KDDH,William H Morse State Airport,Bennington,VT,42.8913,-73.246399
13,OPR,ALY,KGFL,Floyd Bennett Memorial Airport,Glens Falls,NY,43.34120178,-73.61029816
14,OPR,ALY,KPOU,Dutchess County Airport,Poughkeepsie,NY,41.62659836,-73.88420105
15,OPR,ALY,KPSF,Pittsfield Municipal Airport,Pittsfield,MA,42.4268,-73.2929
16,OPR,BGM,KAVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33850098,-75.7233963
17,OPR,BGM,KBGM,Greater Binghamton/Edwin A Link field,Binghamton,PA,42.20869827,-75.97979736
18,OPR,BGM,KELM,Elmira Corning Regional Airport,Elmira/Corning,NY,42.15990067,-76.89160156
19,OPR,BGM,KPEO,Penn Yan Airport,Penn Yan,NY,42.63710022,-77.05290222
20,OPR,BGM,KRME,Griffiss International Airport,Rome,NY,43.23379898,-75.40699768
21,OPR,BGM,KSYR,Syracuse Hancock International Airport,Syracuse,NY,43.11119843,-76.10630035
22,OPR,BOX,KACK,Nantucket Memorial Airport,Nantucket,VT,41.25310135,-70.06020355
23,OPR,BOX,KAFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey,NH,42.805099,-72.002998
24,OPR,BOX,KBAF,Westfield-Barnes Regional Airport,Westfield,MA,42.157799,-72.715599
25,OPR,BOX,KBDL,Bradley International Airport,Hartford,CT,41.93851,-72.688066
26,OPR,BOX,KBED,Laurence G Hanscom Field,Bedford,MA,42.470001,-71.289001
27,OPR,BOX,KBOS,Logan International Airport,Boston,MA,42.3643,-71.005203
28,OPR,BOX,KBVY,Beverly Regional Airport,Beverly / Danvers,MA,42.584202,-70.916496
29,OPR,BOX,KCQX,Chatham Municipal Airport,Chatham,MA,41.68840027,-69.98950195
30,OPR,BOX,KEWB,New Bedford Regional Airport,New Bedford,MA,41.67610168,-70.95690155
31,OPR,BOX,KFIT,Fitchburg Municipal Airport,Fitchburg,MA,42.55410004,-71.75900269
32,OPR,BOX,KHFD,Hartford Brainard Airport,Hartford,CT,41.73669815,-72.6493988
33,OPR,BOX,KHYA,Cape Cod Gateway Airport,Hyannis,MA,41.6693,-70.280403
34,OPR,BOX,KIJD,Windham Airport,North Windham,CT,41.743999,-72.180298
35,OPR,BOX,KLWM,Lawrence Municipal Airport,Lawrence,MA,42.71720123,-71.12339783
36,OPR,BOX,KMHT,Manchester-Boston Regional Airport,Manchester,NH,42.932598,-71.435699
37,OPR,BOX,KMQE,Blue Hill Observatory,Norfolk,MA,42.211944,-71.113888
38,OPR,BOX,KMVY,Martha's Vineyard Airport,Martha's Vineyard,MA,41.39310074,-70.61430359
39,OPR,BOX,KORE,Orange Municipal Airport,Orange,MA,42.57009888,-72.28859711
40,OPR,BOX,KORH,Worcester Regional Airport,Worcester,MA,42.2673,-71.875702
41,OPR,BOX,KOWD,Norwood Memorial Airport,Norwood,MA,42.19049835,-71.17289734
42,OPR,BOX,KPVD,Theodore Francis OPR State Airport,Warwick,RI,41.725038,-71.425668
43,OPR,BOX,KPYM,Plymouth Municipal Airport,Plymouth,MA,41.909,-70.728798
44,OPR,BOX,KTAN,Taunton Municipal King Field,Taunton,MA,41.87440109,-71.01660156
45,OPR,BOX,KUUU,Newport State Airport,Newport,RI,41.532398,-71.281502
46,OPR,BOX,KWST,Westerly State Airport,Westerly,RI,41.34960175,-71.80339813
47,OPR,BUF,KART,Watertown International Airport,Watertown,NY,43.991901,-76.021698
48,OPR,BUF,KBUF,Buffalo Niagara International Airport,Buffalo,NY,42.94049835,-78.73220062
49,OPR,BUF,KDKK,Chautauqua County-Dunkirk Airport,Dunkirk,NY,42.49247,-79.273102
50,OPR,BUF,KDSV,Dansville Municipal Airport,Dansville,NY,42.570545,-77.713273
51,OPR,BUF,KELZ,Wellsville Municipal Airport - Tarantine Field,Wellsville,NY,42.109501,-77.989998
52,OPR,BUF,KFZY,Oswego County Airport,Fulton,NY,43.35079956,-76.38809967
53,OPR,BUF,KIAG,Niagara Falls International Airport,Niagara Falls,NY,43.1073,-78.946198
54,OPR,BUF,KROC,Frederick Douglass Greater Rochester International Airport,Rochester,NY,43.1189,-77.672401
55,OPR,BTV,KBTV,Burlington International Airport,South Burlington,VT,44.471901,-73.153297
56,OPR,BTV,KLEB,Lebanon Municipal Airport,Lebanon,NH,43.62609863,-72.30419922
